layer,source_emotion,eval_vector_emotion,score
12,happy,sad,0.09861224889755249
12,happy,angry,-0.5591569542884827
12,happy,happy,0.1095346063375473
12,happy,sad,-0.037085868418216705
12,happy,angry,-0.6507619619369507
12,happy,happy,0.07737541943788528
12,happy,sad,-0.11583611369132996
12,happy,angry,-0.4280719757080078
12,happy,happy,0.01403219997882843
12,happy,sad,-0.1931617259979248
12,happy,angry,-0.25676482915878296
12,happy,happy,-0.2360420823097229
12,happy,sad,0.2525571882724762
12,happy,angry,-0.31070348620414734
12,happy,happy,-0.3002258539199829
12,happy,sad,0.2313067466020584
12,happy,angry,-0.4414801001548767
12,happy,happy,-0.15329843759536743
12,happy,sad,-0.1498694121837616
12,happy,angry,-0.1810598522424698
12,happy,happy,0.5967952609062195
12,happy,sad,-0.43103253841400146
12,happy,angry,-0.6359766721725464
12,happy,happy,-0.06977815926074982
12,happy,sad,-0.00699286162853241
12,happy,angry,-0.4165683090686798
12,happy,happy,0.28113165497779846
12,happy,sad,-0.1111551895737648
12,happy,angry,-0.573340117931366
12,happy,happy,0.0008980408310890198
12,happy,sad,0.1020336002111435
12,happy,angry,-0.5814096331596375
16,happy,happy,0.08191168308258057
16,happy,sad,-0.149858295917511
16,happy,angry,-0.32466328144073486
16,happy,happy,0.1530047059059143
16,happy,sad,-0.045728687196969986
16,happy,angry,-0.5583977103233337
16,happy,happy,-0.04211489111185074
16,happy,sad,-0.02535412833094597
16,happy,angry,-0.44327160716056824
16,happy,happy,-0.036811091005802155
16,happy,sad,0.1501680165529251
16,happy,angry,-0.5640463829040527
16,happy,happy,-0.30501294136047363
16,happy,sad,0.28909575939178467
16,happy,angry,-0.43330118060112
16,happy,happy,-0.5498037934303284
16,happy,sad,0.1874018758535385
16,happy,angry,-0.12368220090866089
16,happy,happy,-0.2989196181297302
16,happy,sad,0.026821397244930267
16,happy,angry,-0.10869729518890381
16,happy,happy,0.004616651684045792
16,happy,sad,-0.18195056915283203
16,happy,angry,-0.4252224862575531
16,happy,happy,0.10631898045539856
16,happy,sad,-0.19591739773750305
16,happy,angry,-0.5124744772911072
16,happy,happy,-0.04766951501369476
16,happy,sad,0.09340411424636841
16,happy,angry,-0.5751062631607056
16,happy,happy,-0.02246890962123871
16,happy,sad,0.129354327917099
16,happy,angry,-0.6121386289596558
16,happy,happy,0.08619065582752228
16,happy,sad,-0.1465415209531784
16,happy,angry,-0.635424017906189
16,happy,happy,0.039654701948165894
16,happy,sad,-0.25742411613464355
16,happy,angry,-0.2512805461883545
16,happy,happy,-0.44968944787979126
16,happy,sad,0.11441220343112946
16,happy,angry,-0.3105121850967407
16,happy,happy,0.10465642809867859
16,happy,sad,-0.3291822075843811
16,happy,angry,-0.42903098464012146
16,happy,happy,0.23590177297592163
16,happy,sad,-0.2196648120880127
16,happy,angry,-0.6863918304443359
16,happy,happy,0.025444604456424713
16,happy,sad,0.052750326693058014
16,happy,angry,-0.45943862199783325
16,happy,happy,-0.34268948435783386
16,happy,sad,0.3077971041202545
16,happy,angry,-0.5056402683258057
16,happy,happy,0.2760639786720276
16,happy,sad,-0.4607231020927429
16,happy,angry,-0.33992451429367065
16,happy,happy,0.2147253155708313
16,happy,sad,-0.410109281539917
16,happy,angry,-0.4601064920425415
16,happy,happy,0.22330635786056519
16,happy,sad,-0.24035656452178955
16,happy,angry,-0.5835928320884705
16,happy,happy,0.09335815906524658
16,happy,sad,0.01654238998889923
16,happy,angry,-0.6789565086364746
16,happy,happy,0.4064747095108032
16,happy,sad,-0.5549686551094055
16,happy,angry,-0.3477512300014496
16,happy,happy,-0.05660758540034294
16,happy,sad,0.008294880390167236
16,happy,angry,-0.4554065465927124
16,happy,happy,0.009619113057851791
16,happy,sad,-0.30395400524139404
16,happy,angry,-0.1583491861820221
16,happy,happy,0.08205433189868927
16,happy,sad,-0.08264953643083572
16,happy,angry,-0.38289064168930054
16,happy,happy,0.09858864545822144
16,happy,sad,0.04109670966863632
16,happy,angry,-0.6162451505661011
16,happy,happy,-0.0574025921523571
16,happy,sad,0.2560218572616577
16,happy,angry,-0.6217541098594666
16,happy,happy,0.08672412484884262
16,happy,sad,-0.34783098101615906
16,happy,angry,-0.14248520135879517
16,happy,happy,0.02658054232597351
16,happy,sad,-0.06143602356314659
16,happy,angry,-0.4328819513320923
16,happy,happy,-0.001509733498096466
16,happy,sad,-0.2622793912887573
16,happy,angry,-0.35521799325942993
16,happy,happy,-0.6069084405899048
16,happy,sad,0.43501928448677063
16,happy,angry,-0.36925244331359863
16,happy,happy,0.03050413727760315
16,happy,sad,-0.037063732743263245
16,happy,angry,-0.3850911557674408
16,happy,happy,0.08913794904947281
16,happy,sad,-0.17072173953056335
16,happy,angry,-0.4653508961200714
16,happy,happy,-0.3033605217933655
16,happy,sad,0.1280480921268463
16,happy,angry,-0.33094385266304016
16,happy,happy,-0.377475380897522
16,happy,sad,0.2038680464029312
